                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.94367,                0.51807,                 1.1003,                0.84358,                0.75701,                0.78534,                  0.561,                 1.1214,                0.54964,                 1.2677,               0.008449,               0.008449,               0.008449
                     50,                0.94448,                0.51398,                 1.1008,                0.84552,                0.76115,                0.78648,                 0.5622,                 1.1221,                0.54697,                 1.2685,               0.008416,               0.008416,               0.008416
                     51,                0.94211,                0.51531,                 1.0992,                 0.8482,                0.75462,                0.78698,                0.56279,                 1.1224,                 0.5454,                 1.2691,               0.008383,               0.008383,               0.008383
                     52,                0.94181,                0.51146,                 1.0996,                0.85224,                 0.7459,                0.78545,                 0.5616,                 1.1222,                0.54665,                 1.2692,                0.00835,                0.00835,                0.00835
                     53,                0.94199,                0.51104,                 1.0993,                 0.8556,                0.74407,                0.78506,                0.56175,                 1.1221,                0.54666,                 1.2687,               0.008317,               0.008317,               0.008317
                     54,                0.94095,                0.51023,                 1.0988,                0.84775,                0.74943,                0.78395,                0.56156,                 1.1223,                0.54649,                 1.2691,               0.008284,               0.008284,               0.008284
                     55,                 0.9398,                0.51003,                 1.0982,                0.84194,                0.75288,                0.78043,                0.56041,                  1.123,                 0.5469,                 1.2699,               0.008251,               0.008251,               0.008251
                     56,                0.93959,                0.50801,                 1.0981,                0.84407,                0.74711,                0.78128,                0.56022,                 1.1232,                0.54709,                 1.2701,               0.008218,               0.008218,               0.008218
                     57,                0.93871,                0.50644,                 1.0976,                0.84969,                0.73218,                0.77824,                  0.557,                 1.1234,                0.54968,                 1.2702,               0.008185,               0.008185,               0.008185
                     58,                 0.9379,                0.50603,                 1.0972,                  0.847,                0.73769,                0.78146,                0.55791,                 1.1238,                0.55126,                 1.2705,               0.008152,               0.008152,               0.008152
                     59,                0.93767,                0.50357,                 1.0973,                0.84918,                 0.7437,                0.78073,                0.55731,                 1.1243,                0.55126,                 1.2711,               0.008119,               0.008119,               0.008119
                     60,                 0.9364,                0.50438,                 1.0966,                0.86096,                0.74235,                0.78199,                0.55795,                 1.1241,                0.55059,                 1.2708,               0.008086,               0.008086,               0.008086
                     61,                0.93565,                0.50388,                 1.0962,                0.86045,                0.74457,                0.78412,                0.56012,                 1.1245,                0.54839,                 1.2716,               0.008053,               0.008053,               0.008053
