                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 2.3747,                0.50547,                0.89084,                0.82336,                 0.8764,                0.81731,                 2.5141,                0.59384,               0.006568,               0.006568,               0.006568
                    107,                 2.3701,                0.50106,                 0.8885,                0.82284,                0.87667,                0.81764,                  2.516,                0.59656,               0.006535,               0.006535,               0.006535
                    108,                 2.3649,                0.50203,                0.89626,                0.81993,                 0.8765,                0.81798,                 2.5156,                0.59375,               0.006502,               0.006502,               0.006502
                    109,                 2.3611,                0.50125,                0.87875,                  0.829,                0.87671,                0.81708,                 2.5172,                0.59372,               0.006469,               0.006469,               0.006469
                    110,                 2.3577,                0.50013,                0.88813,                0.82551,                0.87662,                0.81735,                 2.5194,                 0.5901,               0.006436,               0.006436,               0.006436
                    111,                 2.3562,                0.49925,                0.87233,                 0.8388,                0.87716,                0.81813,                   2.52,                0.58596,               0.006403,               0.006403,               0.006403
                    112,                 2.3501,                0.49704,                0.88654,                0.82803,                0.87679,                0.81769,                 2.5217,                0.58864,                0.00637,                0.00637,                0.00637
                    113,                 2.3457,                0.49676,                0.88097,                0.83598,                0.87684,                 0.8173,                 2.5213,                0.58652,               0.006337,               0.006337,               0.006337
                    114,                 2.3422,                0.49667,                0.87146,                0.84424,                0.87786,                0.81735,                 2.5215,                0.58837,               0.006304,               0.006304,               0.006304
                    115,                  2.337,                0.49477,                0.87191,                0.84036,                0.87838,                0.81746,                 2.5216,                0.59082,               0.006271,               0.006271,               0.006271
                    116,                 2.3326,                0.49312,                0.86406,                0.84003,                0.87763,                0.81795,                  2.524,                0.59361,               0.006238,               0.006238,               0.006238
                    117,                 2.3262,                0.49289,                0.87125,                0.82818,                0.87612,                0.81664,                 2.5244,                0.59647,               0.006205,               0.006205,               0.006205
                    118,                 2.3247,                0.49229,                0.85835,                0.84504,                0.87643,                0.81701,                  2.525,                0.59735,               0.006172,               0.006172,               0.006172
