                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.4642,                0.53624,                0.88825,                0.81469,                0.88279,                0.82118,                 2.5444,                0.59888,               0.007954,               0.007954,               0.007954
                     65,                 2.4601,                0.53377,                0.89106,                0.81876,                0.88303,                  0.822,                 2.5443,                0.59655,               0.007921,               0.007921,               0.007921
                     66,                 2.4554,                 0.5344,                0.89248,                0.81337,                0.88427,                0.82277,                 2.5435,                0.59366,               0.007888,               0.007888,               0.007888
                     67,                 2.4503,                0.53376,                0.88294,                0.82552,                0.88583,                0.82513,                 2.5447,                0.59282,               0.007855,               0.007855,               0.007855
                     68,                 2.4489,                0.53169,                0.87225,                0.83214,                0.88471,                0.82391,                 2.5457,                0.59222,               0.007822,               0.007822,               0.007822
                     69,                 2.4415,                0.53016,                0.87098,                0.82904,                0.88302,                0.82191,                 2.5463,                0.59261,               0.007789,               0.007789,               0.007789
                     70,                 2.4366,                0.52916,                0.87625,                0.82834,                0.88253,                 0.8216,                 2.5454,                0.59264,               0.007756,               0.007756,               0.007756
                     71,                 2.4377,                 0.5291,                0.88686,                0.82425,                0.88104,                0.82064,                 2.5476,                0.59585,               0.007723,               0.007723,               0.007723
                     72,                 2.4291,                 0.5275,                0.88557,                0.82653,                 0.8811,                0.82063,                 2.5492,                0.59803,                0.00769,                0.00769,                0.00769
                     73,                 2.4282,                0.52615,                0.87818,                0.83044,                0.87939,                 0.8182,                 2.5526,                0.60148,               0.007657,               0.007657,               0.007657
                     74,                 2.4224,                0.52623,                0.87911,                0.83109,                 0.8785,                0.81778,                  2.555,                0.60297,               0.007624,               0.007624,               0.007624
                     75,                 2.4171,                0.52397,                0.88323,                0.82934,                0.87546,                0.81504,                 2.5563,                0.60462,               0.007591,               0.007591,               0.007591
                     76,                 2.4142,                0.52285,                0.88882,                0.82538,                0.87363,                0.81312,                 2.5593,                0.60691,               0.007558,               0.007558,               0.007558
                     77,                 2.4095,                0.52249,                 0.8864,                0.82119,                 0.8752,                0.81387,                 2.5612,                0.60903,               0.007525,               0.007525,               0.007525
                     78,                 2.4077,                0.52268,                0.87486,                0.83271,                0.87312,                 0.8117,                 2.5641,                   0.61,               0.007492,               0.007492,               0.007492
                     79,                 2.4035,                0.52125,                0.87688,                0.83263,                  0.872,                0.81084,                 2.5649,                0.61185,               0.007459,               0.007459,               0.007459
                     80,                 2.4006,                0.52052,                0.89379,                0.82134,                 0.8739,                 0.8133,                  2.564,                0.60544,               0.007426,               0.007426,               0.007426
                     81,                 2.3945,                0.51836,                0.87665,                0.82869,                0.87551,                0.81556,                 2.5644,                0.60205,               0.007393,               0.007393,               0.007393
                     82,                 2.3905,                0.51771,                0.86949,                0.82886,                 0.8755,                0.81555,                 2.5626,                0.59786,                0.00736,                0.00736,                0.00736
                     83,                 2.3845,                0.51599,                0.87457,                0.82616,                0.87499,                0.81489,                 2.5618,                0.59479,               0.007327,               0.007327,               0.007327
                     84,                 2.3801,                0.51508,                0.87361,                0.82526,                0.87432,                 0.8139,                  2.561,                0.59368,               0.007294,               0.007294,               0.007294
                     85,                 2.3793,                0.51425,                0.88257,                0.82319,                0.87586,                0.81511,                 2.5618,                0.59201,               0.007261,               0.007261,               0.007261
                     86,                 2.3738,                0.51494,                0.88819,                0.81957,                 0.8773,                0.81743,                 2.5642,                0.58982,               0.007228,               0.007228,               0.007228
                     87,                   2.37,                0.51182,                0.87847,                0.82558,                0.87787,                0.81811,                 2.5627,                0.58615,               0.007195,               0.007195,               0.007195
                     88,                 2.3638,                0.51158,                0.87576,                0.83148,                0.87631,                0.81672,                 2.5658,                 0.5864,               0.007162,               0.007162,               0.007162
                     89,                 2.3587,                0.50986,                 0.8843,                0.83129,                 0.8764,                 0.8166,                 2.5687,                 0.5868,               0.007129,               0.007129,               0.007129
                     90,                 2.3569,                0.50867,                0.87966,                0.82817,                0.87592,                0.81617,                   2.57,                0.58592,               0.007096,               0.007096,               0.007096
                     91,                 2.3516,                0.50802,                0.87898,                0.82488,                0.87525,                0.81507,                 2.5695,                0.58565,               0.007063,               0.007063,               0.007063
                     92,                 2.3493,                0.50763,                0.87477,                0.82897,                0.87568,                0.81582,                 2.5681,                0.58607,                0.00703,                0.00703,                0.00703
                     93,                  2.343,                0.50709,                0.87706,                0.82554,                0.87605,                0.81604,                 2.5694,                0.58843,               0.006997,               0.006997,               0.006997
                     94,                 2.3376,                0.50545,                0.86844,                0.82798,                0.87498,                0.81552,                   2.57,                0.59115,               0.006964,               0.006964,               0.006964
                     95,                 2.3332,                 0.5046,                0.87553,                0.81924,                0.87329,                0.81357,                  2.572,                0.59313,               0.006931,               0.006931,               0.006931
                     96,                 2.3299,                0.50385,                0.87146,                0.81965,                0.87301,                  0.814,                 2.5732,                0.59228,               0.006898,               0.006898,               0.006898
                     97,                 2.3246,                0.50234,                0.86933,                0.82064,                0.87256,                0.81391,                 2.5759,                0.59172,               0.006865,               0.006865,               0.006865
                     98,                 2.3205,                0.50154,                0.87002,                0.82166,                0.87244,                0.81358,                 2.5768,                0.59034,               0.006832,               0.006832,               0.006832
                     99,                 2.3145,                0.50055,                0.87112,                0.81716,                0.87282,                0.81354,                 2.5807,                0.59021,               0.006799,               0.006799,               0.006799
                    100,                 2.3127,                0.49998,                0.87766,                 0.8186,                0.87338,                0.81337,                 2.5815,                0.58993,               0.006766,               0.006766,               0.006766
                    101,                 2.3065,                0.49842,                0.88749,                 0.8122,                0.87177,                0.81141,                 2.5825,                0.59176,               0.006733,               0.006733,               0.006733
                    102,                  2.301,                0.49755,                0.88565,                0.81339,                0.87194,                0.81135,                 2.5841,                0.59142,                 0.0067,                 0.0067,                 0.0067
                    103,                  2.295,                0.49537,                0.86434,                0.82535,                0.87109,                0.81074,                 2.5852,                 0.5905,               0.006667,               0.006667,               0.006667
                    104,                 2.2924,                0.49479,                0.86721,                0.82799,                0.87033,                0.81014,                 2.5866,                0.59036,               0.006634,               0.006634,               0.006634
                    105,                 2.2896,                0.49434,                0.86034,                0.83238,                0.86962,                0.80932,                 2.5868,                0.59022,               0.006601,               0.006601,               0.006601
                    106,                 2.2823,                0.49361,                0.86568,                0.82789,                0.86849,                0.80838,                 2.5885,                0.59191,               0.006568,               0.006568,               0.006568
                    107,                 2.2735,                0.49149,                0.86842,                0.82384,                0.86833,                0.80837,                 2.5914,                 0.5922,               0.006535,               0.006535,               0.006535
                    108,                 2.2695,                0.49048,                0.87545,                0.82301,                0.86767,                0.80752,                  2.595,                0.59131,               0.006502,               0.006502,               0.006502
                    109,                 2.2649,                0.48916,                0.87487,                0.82419,                0.86747,                0.80662,                 2.5957,                0.59267,               0.006469,               0.006469,               0.006469
                    110,                 2.2597,                0.48832,                0.87477,                0.82209,                0.86607,                0.80503,                 2.5973,                0.59472,               0.006436,               0.006436,               0.006436
                    111,                 2.2536,                 0.4876,                0.86886,                0.83236,                0.86659,                0.80499,                 2.5976,                0.59386,               0.006403,               0.006403,               0.006403
                    112,                 2.2498,                0.48564,                0.87944,                0.82739,                0.86698,                0.80563,                 2.5999,                0.59274,                0.00637,                0.00637,                0.00637
                    113,                 2.2442,                0.48396,                 0.8673,                0.83233,                0.86571,                0.80453,                 2.6012,                0.59162,               0.006337,               0.006337,               0.006337
                    114,                 2.2376,                0.48462,                0.87508,                 0.8183,                0.86479,                0.80425,                 2.6035,                0.59156,               0.006304,               0.006304,               0.006304
                    115,                 2.2315,                0.48214,                0.86161,                0.83223,                0.86566,                 0.8046,                 2.6046,                0.59032,               0.006271,               0.006271,               0.006271
                    116,                 2.2252,                0.48045,                0.87478,                0.81649,                0.86704,                0.80627,                 2.6073,                0.58827,               0.006238,               0.006238,               0.006238
                    117,                 2.2187,                0.47938,                0.85113,                0.83349,                0.86638,                0.80561,                 2.6084,                 0.5878,               0.006205,               0.006205,               0.006205
