                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.93072,                0.50629,                 1.0921,                0.87065,                 0.8072,                0.84023,                0.58522,                 1.1334,                0.55588,                 1.2804,               0.007327,               0.007327,               0.007327
                     84,                0.92964,                0.50341,                 1.0918,                0.86776,                0.81178,                0.83956,                0.58479,                  1.134,                0.55663,                 1.2809,               0.007294,               0.007294,               0.007294
                     85,                0.92643,                0.50185,                 1.0898,                0.86771,                0.81118,                 0.8406,                0.58604,                  1.135,                0.55647,                 1.2825,               0.007261,               0.007261,               0.007261
                     86,                0.92791,                0.50109,                 1.0909,                0.87732,                0.80835,                0.84056,                0.58537,                 1.1363,                0.55631,                 1.2834,               0.007228,               0.007228,               0.007228
                     87,                0.92808,                0.50021,                 1.0908,                0.87364,                0.81071,                0.84064,                0.58593,                 1.1371,                0.55461,                 1.2842,               0.007195,               0.007195,               0.007195
                     88,                0.92702,                0.49849,                 1.0902,                0.88644,                0.80008,                 0.8406,                0.58584,                 1.1381,                0.55484,                 1.2851,               0.007162,               0.007162,               0.007162
                     89,                0.92678,                0.49692,                 1.0901,                0.88115,                0.79706,                0.84106,                0.58612,                  1.138,                0.55413,                 1.2851,               0.007129,               0.007129,               0.007129
                     90,                0.92552,                0.49742,                 1.0897,                0.88491,                0.79146,                0.83914,                0.58431,                 1.1389,                0.55576,                 1.2859,               0.007096,               0.007096,               0.007096
                     91,                0.92562,                0.49679,                 1.0898,                 0.8728,                0.80578,                0.83964,                0.58439,                 1.1394,                0.55589,                 1.2867,               0.007063,               0.007063,               0.007063
                     92,                0.92478,                0.49379,                 1.0892,                0.86508,                0.80763,                0.83803,                 0.5818,                 1.1398,                0.55722,                 1.2871,                0.00703,                0.00703,                0.00703
                     93,                0.92374,                0.49397,                 1.0888,                0.87057,                0.80095,                0.83579,                0.57911,                 1.1405,                0.55888,                  1.288,               0.006997,               0.006997,               0.006997
                     94,                0.92409,                 0.4946,                  1.089,                0.86454,                0.80051,                0.83305,                0.57774,                 1.1415,                0.56136,                 1.2887,               0.006964,               0.006964,               0.006964
                     95,                0.92417,                0.49161,                 1.0891,                 0.8642,                 0.8011,                0.83178,                 0.5775,                 1.1432,                0.56222,                 1.2906,               0.006931,               0.006931,               0.006931
                     96,                0.92279,                0.49088,                 1.0882,                 0.8727,                0.79381,                0.83037,                0.57733,                 1.1436,                0.56192,                 1.2911,               0.006898,               0.006898,               0.006898
                     97,                0.92137,                0.48979,                 1.0877,                0.87524,                0.78672,                0.82815,                0.57658,                 1.1431,                0.56201,                 1.2901,               0.006865,               0.006865,               0.006865
                     98,                0.92111,                0.48925,                 1.0875,                0.86901,                 0.7816,                0.82422,                0.57329,                 1.1432,                0.56399,                 1.2896,               0.006832,               0.006832,               0.006832
                     99,                 0.9212,                0.48582,                 1.0878,                0.86042,                0.77798,                0.82026,                0.57062,                 1.1442,                0.56327,                 1.2905,               0.006799,               0.006799,               0.006799
                    100,                0.92134,                0.48556,                 1.0876,                0.85055,                0.79329,                0.81996,                0.57142,                 1.1449,                0.56297,                 1.2912,               0.006766,               0.006766,               0.006766
                    101,                0.91863,                0.48409,                 1.0864,                0.86706,                0.77593,                0.82027,                0.56961,                 1.1453,                0.56367,                 1.2912,               0.006733,               0.006733,               0.006733
                    102,                0.91974,                0.48275,                 1.0868,                0.84058,                0.79093,                 0.8192,                0.56943,                 1.1455,                0.56376,                 1.2911,                 0.0067,                 0.0067,                 0.0067
                    103,                0.91969,                0.48341,                  1.087,                0.84331,                0.78382,                 0.8184,                0.56986,                 1.1455,                0.56317,                 1.2906,               0.006667,               0.006667,               0.006667
                    104,                0.91677,                0.48187,                 1.0854,                0.84201,                0.79098,                0.81835,                0.56973,                 1.1457,                0.56396,                 1.2909,               0.006634,               0.006634,               0.006634
                    105,                0.91768,                0.48104,                 1.0861,                  0.864,                0.77646,                0.81786,                0.56929,                  1.146,                0.56499,                 1.2908,               0.006601,               0.006601,               0.006601
                    106,                 0.9168,                0.47928,                 1.0854,                0.86623,                0.78482,                0.81984,                0.56986,                 1.1456,                0.56511,                 1.2905,               0.006568,               0.006568,               0.006568
                    107,                0.91571,                0.48116,                 1.0848,                0.86677,                 0.7841,                0.82163,                0.57019,                 1.1461,                0.56307,                 1.2912,               0.006535,               0.006535,               0.006535
                    108,                0.91568,                0.47829,                 1.0848,                0.86663,                0.78197,                0.82162,                   0.57,                 1.1458,                 0.5619,                 1.2905,               0.006502,               0.006502,               0.006502
                    109,                0.91563,                0.47624,                 1.0849,                 0.8675,                 0.7774,                 0.8199,                0.56937,                 1.1464,                 0.5621,                 1.2911,               0.006469,               0.006469,               0.006469
                    110,                0.91495,                0.47683,                 1.0845,                0.86824,                0.77158,                0.81811,                0.56803,                 1.1464,                 0.5638,                 1.2912,               0.006436,               0.006436,               0.006436
                    111,                0.91404,                0.47514,                 1.0838,                0.88645,                0.75905,                0.81887,                0.56958,                 1.1474,                0.56175,                 1.2927,               0.006403,               0.006403,               0.006403
                    112,                0.91281,                0.47653,                 1.0834,                0.88316,                0.76011,                0.81891,                0.56963,                 1.1483,                0.55955,                 1.2939,                0.00637,                0.00637,                0.00637
                    113,                0.91104,                0.47416,                 1.0822,                0.85156,                0.79069,                0.82168,                0.57108,                 1.1493,                0.55704,                 1.2955,               0.006337,               0.006337,               0.006337
                    114,                0.91121,                0.47372,                 1.0825,                0.85277,                0.79928,                0.82353,                0.57252,                 1.1497,                0.55569,                 1.2962,               0.006304,               0.006304,               0.006304
                    115,                0.91055,                0.47192,                 1.0819,                0.85442,                0.79732,                0.82442,                0.57283,                 1.1506,                0.55488,                 1.2967,               0.006271,               0.006271,               0.006271
                    116,                0.90992,                0.47023,                 1.0819,                0.85706,                 0.7999,                0.82555,                0.57355,                 1.1514,                0.55428,                 1.2975,               0.006238,               0.006238,               0.006238
